city,lat,lng,admin_name,population,population_proper
Saijō,33.9196,133.1812,Ehime,105020,105020
Toride,35.9114,140.0503,Ibaraki,104667,104667
Ikeda,34.8167,135.4333,Ōsaka,104169,104169
Isehara,35.4028,139.315,Kanagawa,102137,102137
Sakado,35.9572,139.4031,Saitama,101531,101531
Sakata,38.9144,139.8364,Yamagata,100916,100916
Inzai,35.8322,140.1458,Chiba,100907,100907
Chikusei,36.3072,139.9831,Ibaraki,100816,100816
Tsuyama,35.1406,134.0319,Okayama,100387,100387
Kani,35.4258,137.0611,Gifu,100031,100031
Saku,36.2489,138.4769,Nagano,98609,98609
Iida,35.5147,137.8219,Nagano,98129,98129
Ginowan,26.2817,127.7783,Okinawa,98093,98093
Kōnan,35.3333,136.8667,Aichi,97893,97893
Fukata,33.8056,130.5406,Fukuoka,96886,96886
Kanuma,36.5672,139.745,Tochigi,95812,95812
Kamisu,35.89,140.6647,Ibaraki,95370,95370
Ōmura,32.9,129.9583,Nagasaki,95062,95062
Azumino,36.3028,137.8997,Nagano,94463,94463
Hanamaki Onsen,39.3886,141.1167,Iwate,94007,94007
Yashio,35.8228,139.8392,Saitama,92672,92672
Yotsukaidō,35.67,140.1683,Chiba,92668,92668
Kitakami,39.2867,141.1131,Iwate,92447,92447
Higashi-Matsuyama,36.0422,139.4,Saitama,92302,92302
Ōbu,35.0167,136.9667,Aichi,92101,92101
Mihara,34.4581,133.0039,Hiroshima,91604,91604
Nisshin,35.1333,137.0333,Aichi,91514,91514
Imizuchō,36.7125,137.0994,Toyama,90877,90877
Takagi,36.1669,136.2317,Fukui,88795,88795
Takasagochō-takasemachi,34.7658,134.7906,Hyōgo,88223,88223
Mobara,35.4283,140.2881,Chiba,87450,87450
Gotenba,35.3086,138.935,Shizuoka,87078,87078
Fukuroi,34.7503,137.925,Shizuoka,87064,87064
Sekimachi,35.4958,136.9178,Gifu,86698,86698
Yokotemachi,39.3106,140.5533,Akita,86499,86499
Kitanagoya,35.25,136.8667,Aichi,85899,85899
Kitakōriyamachō,34.6494,135.7828,Nara,84820,84820
Ushiku,35.9833,140.15,Ibaraki,84637,84637
Higashiyamato,35.7456,139.4267,Tōkyō,84223,84223
Chita,35,136.8667,Aichi,83946,83946
Muroran,42.3153,140.9736,Hokkaidō,83287,83287
Nakatsu,33.5983,131.1883,Fukuoka,82875,82875
Kimitsu,35.3306,139.9025,Chiba,82548,82548
Moriyama,35.0589,135.9944,Shiga,82526,82526
Kaneyama,31.3833,130.85,Kagoshima,82335,54692
Owariasahi,35.2167,137.0333,Aichi,81914,81914
Ōmihachiman,35.1283,136.0981,Shiga,81322,81322
Iwamizawa,43.1961,141.7758,Hokkaidō,80753,80753
Nagaoka,34.9267,135.6956,Kyōto,80514,80514
Gamagōri,34.8264,137.2196,Aichi,80091,80091
Akiruno,35.7289,139.2942,Tōkyō,80074,80074
Hannō,35.8558,139.3278,Saitama,79891,79891
Maizuru,35.45,135.3167,Kyōto,79886,79886
Gyōda,36.1389,139.4558,Saitama,79405,79405
Mooka,36.4403,140.0131,Tochigi,79109,79109
Natori-shi,38.1717,140.8919,Miyagi,78796,78796
Toyooka,35.5333,134.8167,Hyōgo,78299,78299
Daisen,39.4531,140.4756,Akita,77886,77886
Toyomamachi-teraike,38.6919,141.1878,Miyagi,77795,77795
Tsubame,37.6667,138.9667,Niigata,77307,77307
Honjō,36.2439,139.1903,Saitama,77045,77045
Ryūgasaki,35.9167,140.1833,Ibaraki,76741,76741
Fukuchiyama,35.2967,135.1264,Kyōto,76677,76677
Nakatsugawa,35.4875,137.5006,Gifu,76442,76442
Sasagawa,37.2867,140.3728,Fukushima,75822,75822
Yurihonjō,39.3858,140.0489,Akita,75417,75417
Shinkai,35.8367,139.5803,Saitama,75265,75265
Kunitachi,35.6839,139.4414,Tōkyō,75156,75156
Tatsunochō-tominaga,34.8581,134.5456,Hyōgo,74892,74892
Tatebayashi,36.245,139.5422,Gunma,74520,74520
Shibukawa,36.4833,139,Gunma,74425,74425
Kasama,36.345,140.3042,Ibaraki,74334,74334
Inuyama,35.3833,136.95,Aichi,73541,73541
Ōtawara,36.8667,140.0167,Tochigi,73508,73508
Ishioka,36.1833,140.2833,Ibaraki,73110,73110
Katori,35.8978,140.4992,Chiba,73110,73110
Hekinan,34.8833,137,Aichi,72875,72875
Chiryū,35,137.1167,Aichi,72166,72166
Yoshikawa,35.8911,139.8414,Saitama,71763,71763
Uwajima,33.2233,132.5606,Ehime,71586,71586
Musashimurayama,35.7547,139.3875,Tōkyō,71579,71579
Yawata-shimizui,34.8756,135.7078,Kyōto,70931,70931
Tanabe,33.7333,135.3833,Wakayama,70410,70410
Ōdate,40.2717,140.5647,Akita,70085,70085
Tsurugashima,35.9344,139.3931,Saitama,70076,70076
Kiyosu,35.2,136.85,Aichi,69680,69680
Toyoake,35.0625,137.0089,Aichi,69448,69448
Rittō,35.0217,135.9981,Shiga,69294,69294
Sabae,35.9567,136.1844,Fukui,68533,68533
Sōja,34.6728,133.7467,Okayama,68172,68172
Saiki,32.9603,131.8994,Ōita,67931,67931
Yachimata,35.6658,140.3183,Chiba,67522,67522
Kashima,35.9658,140.645,Ibaraki,67448,67448
Shiojiri,36.1167,137.95,Nagano,66737,66737
